iso_code,Country_Region,Date,NewCases,Confirmed Cases,NewDeaths,TotalDeaths
ARM,Armenia,2020-03-01,1,1,0,0
ARM,Armenia,2020-03-02,0,1,0,0
ARM,Armenia,2020-03-03,0,1,0,0
ARM,Armenia,2020-03-04,0,1,0,0
ARM,Armenia,2020-03-05,0,1,0,0
ARM,Armenia,2020-03-06,0,1,0,0
ARM,Armenia,2020-03-07,0,1,0,0
ARM,Armenia,2020-03-08,0,1,0,0
ARM,Armenia,2020-03-09,0,1,0,0
ARM,Armenia,2020-03-10,0,1,0,0
ARM,Armenia,2020-03-11,3,4,0,0
ARM,Armenia,2020-03-12,2,6,0,0
ARM,Armenia,2020-03-13,7,13,0,0
ARM,Armenia,2020-03-14,7,20,0,0
ARM,Armenia,2020-03-15,8,28,0,0
ARM,Armenia,2020-03-16,17,45,0,0
ARM,Armenia,2020-03-17,33,78,0,0
ARM,Armenia,2020-03-18,32,110,0,0
ARM,Armenia,2020-03-19,26,136,0,0
ARM,Armenia,2020-03-20,24,160,0,0
ARM,Armenia,2020-03-21,30,190,0,0
ARM,Armenia,2020-03-22,4,194,0,0
ARM,Armenia,2020-03-23,41,235,0,0
ARM,Armenia,2020-03-24,30,265,0,0
ARM,Armenia,2020-03-25,25,290,0,0
ARM,Armenia,2020-03-26,39,329,1,1
ARM,Armenia,2020-03-27,43,372,0,1
ARM,Armenia,2020-03-28,52,424,0,1
ARM,Armenia,2020-03-29,58,482,2,3
ARM,Armenia,2020-03-30,50,532,0,3
ARM,Armenia,2020-03-31,39,571,0,3
ARM,Armenia,2020-04-01,92,663,1,4
ARM,Armenia,2020-04-02,73,736,3,7
ARM,Armenia,2020-04-03,34,770,0,7
ARM,Armenia,2020-04-04,52,822,0,7
ARM,Armenia,2020-04-05,11,833,1,8
ARM,Armenia,2020-04-06,20,853,0,8
ARM,Armenia,2020-04-07,28,881,1,9
ARM,Armenia,2020-04-08,40,921,1,10
ARM,Armenia,2020-04-09,16,937,1,11
ARM,Armenia,2020-04-10,30,967,2,13
ARM,Armenia,2020-04-11,46,1013,0,13
ARM,Armenia,2020-04-12,26,1039,1,14
ARM,Armenia,2020-04-13,28,1067,2,16
ARM,Armenia,2020-04-14,44,1111,1,17
ARM,Armenia,2020-04-15,48,1159,1,18
ARM,Armenia,2020-04-16,42,1201,1,19
ARM,Armenia,2020-04-17,47,1248,1,20
ARM,Armenia,2020-04-18,43,1291,0,20
ARM,Armenia,2020-04-19,48,1339,2,22
ARM,Armenia,2020-04-20,62,1401,2,24
ARM,Armenia,2020-04-21,72,1473,0,24
ARM,Armenia,2020-04-22,50,1523,0,24
ARM,Armenia,2020-04-23,73,1596,3,27
ARM,Armenia,2020-04-24,81,1677,1,28
ARM,Armenia,2020-04-25,69,1746,0,28
ARM,Armenia,2020-04-26,62,1808,1,29
ARM,Armenia,2020-04-27,59,1867,1,30
ARM,Armenia,2020-04-28,65,1932,0,30
ARM,Armenia,2020-04-29,134,2066,2,32
ARM,Armenia,2020-04-30,82,2148,1,33
ARM,Armenia,2020-05-01,125,2273,0,33
ARM,Armenia,2020-05-02,113,2386,2,35
ARM,Armenia,2020-05-03,121,2507,4,39
ARM,Armenia,2020-05-04,112,2619,1,40
ARM,Armenia,2020-05-05,163,2782,0,40
ARM,Armenia,2020-05-06,102,2884,2,42
ARM,Armenia,2020-05-07,145,3029,1,43
ARM,Armenia,2020-05-08,146,3175,1,44
ARM,Armenia,2020-05-09,138,3313,1,45
ARM,Armenia,2020-05-10,79,3392,1,46
ARM,Armenia,2020-05-11,146,3538,1,47
ARM,Armenia,2020-05-12,180,3718,1,48
ARM,Armenia,2020-05-13,142,3860,1,49
ARM,Armenia,2020-05-14,184,4044,3,52